subjectCode,MSVList,numberStudents
HMO3609,"[19005484, 19005982]",2
HMO3610,"[16006283, 19005484, 19005982, 20000962, 20004496]",5
HMO3611,"[19005484, 19005982]",2
K300 TTKHMT,"[19000328, 19006753, 19008190, 19009346, 19009953]",5
MAT1076,"[19000003, 19001818, 19005011, 19005857, 19006464, 19006630, 19008250, 19008317, 19008977, 20003226, 20007956, 20008490, 21000888, 21000972, 21001146, 21001229, 21001289, 21001567, 21001788, 21001820, 21002012, 21002136, 21002157, 21002211, 21002411, 21002743, 21002761, 21003000, 21003667, 21003697, 21003703, 21003717, 21003718, 21003798, 21003882, 21004270, 21004437, 21004492, 21004602, 21004781, 21004807, 21005208, 21005640, 21006089, 21006115, 21006379, 21006446, 21006548, 21006588, 21006651, 21007054, 21007079, 21007109, 21007179, 21007495, 21007919, 21008194, 21008511, 21008574, 21008858, 21008866, 21009354, 21009555]",63
MAT1090,"[16000260, 16008946, 17001243, 17006362, 17006735, 17008525, 17009066, 18000164, 18000260, 18000665, 18001200, 18002391, 18003268, 18003510, 18003895, 18004066, 18004221, 18004659, 18004659, 18004901, 18004969, 18005600, 18005687, 18006923, 18007018, 18007046, 18007115, 18007401, 18007424, 18007575, 18007626, 18007720, 18008506, 18008602, 18008659, 18008714, 18008909, 18009314, 18009817, 19000145, 19001054, 19001258, 19001491, 19001563, 19002178, 19002233, 19005066, 19005667, 19005931, 19006216, 19006243, 19006354, 19006542, 19007176, 19007201, 19008828, 19008903, 20000515, 20000923, 20001108, 20001540, 20001564, 20001858, 20003106, 20003206, 20004513, 20004691, 20004936, 20005287, 20005320, 20005384, 20006435, 20006493, 20006732, 20007584, 20007723, 20008231, 20008325, 20009851, 21000145, 21002342, 21002894, 21003076, 21004364, 21004854, 21005354, 21009358, 21009745]",88
MAT1091,"[16004481, 16004519, 16006115, 16009266, 16016387, 16105255, 17000235, 17001243, 17004373, 17005538, 17005618, 17005636, 17006089, 17006730, 17007045, 17007866, 17008272, 17104149, 18001317, 18001615, 18001813, 18001996, 18002132, 18002815, 18003775, 18003794, 18003895, 18004098, 18004215, 18004284, 18004983, 18005139, 18005269, 18005366, 18005398, 18005600, 18005783, 18006182, 18006748, 18006856, 18006876, 18006892, 18007364, 18007424, 18007467, 18007981, 18008646, 18008763, 18009154, 18009817, 18009822, 18010073, 19000770, 19001317, 19001501, 19001565, 19001739, 19002302, 19003076, 19003171, 19003810, 19004261, 19004284, 19004826, 19004899, 19004945, 19005397, 19006599, 19006876, 19007176, 19007307, 19007807, 19007833, 19007870, 19008035, 19008166, 19008624, 19008646, 19008928, 19009047, 19009564, 19009932, 19012915, 19013005, 19013363, 19015787, 19016058, 19016181, 19016930, 19017275, 19017424, 19017982, 19018252, 20000203, 20000320, 20000424, 20000511, 20000777, 20000894, 20000929, 20001540, 20001858, 20002648, 20002962, 20002972, 20002974, 20003237, 20003390, 20004100, 20004260, 20004308, 20004462, 20004803, 20004822, 20005102, 20005384, 20005579, 20005687, 20005710, 20005783, 20005893, 20006070, 20006074, 20006205, 20006272, 20006501, 20006918, 20006929, 20006942, 20007053, 20007203, 20007448, 20007746, 20008656, 20008733, 20008998, 20009332, 20009353, 20009434, 20009456, 20009486, 20009489, 20009774, 20009820, 21000012, 21000038, 21000064, 21000127, 21000128, 21000134, 21000145, 21000149, 21000202, 21000206, 21000307, 21000311, 21000370, 21000394, 21000401, 21000416, 21000448, 21000458, 21000481, 21000502, 21000545, 21000567, 21000691, 21000702, 21000733, 21000792, 21000833, 21000880, 21000903, 21000922, 21000923, 21000929, 21000954, 21000995, 21001097, 21001122, 21001187, 21001200, 21001206, 21001207, 21001298, 21001304, 21001343, 21001423, 21001426, 21001465, 21001501, 21001503, 21001564, 21001669, 21001679, 21001687, 21001724, 21001736, 21001739, 21001801, 21001814, 21001862, 21001896, 21001940, 21001989, 21002104, 21002118, 21002150, 21002183, 21002195, 21002225, 21002251, 21002252, 21002280, 21002288, 21002306, 21002310, 21002315, 21002324, 21002327, 21002331, 21002361, 21002452, 21002472, 21002523, 21002553, 21002558, 21002598, 21002648, 21002650, 21002671, 21002752, 21002899, 21002953, 21002954, 21002974, 21003032, 21003033, 21003076, 21003088, 21003089, 21003092, 21003136, 21003226, 21003239, 21003270, 21003299, 21003300, 21003350, 21003357, 21003379, 21003389, 21003445, 21003453, 21003476, 21003482, 21003507, 21003549, 21003565, 21003571, 21003656, 21003659, 21003666, 21003673, 21003682, 21003700, 21003716, 21003731, 21003736, 21003742, 21003782, 21003824, 21003873, 21003876, 21003880, 21003909, 21003918, 21003951, 21003974, 21004100, 21004121, 21004126, 21004128, 21004137, 21004165, 21004179, 21004235, 21004259, 21004276, 21004298, 21004300, 21004348, 21004364, 21004410, 21004513, 21004555, 21004560, 21004586, 21004615, 21004644, 21004658, 21004665, 21004680, 21004693, 21004709, 21004738, 21004771, 21004795, 21004822, 21004822, 21004839, 21004854, 21004898, 21004913, 21005017, 21005053, 21005075, 21005102, 21005102, 21005106, 21005135, 21005320, 21005336, 21005337, 21005354, 21005375, 21005384, 21005385, 21005420, 21005420, 21005436, 21005530, 21005544, 21005583, 21005663, 21005668, 21005669, 21005675, 21005702, 21005707, 21005749, 21005770, 21005818, 21005885, 21005887, 21005900, 21005906, 21005928, 21005946, 21005954, 21005992, 21006014, 21006034, 21006053, 21006081, 21006082, 21006098, 21006216, 21006231, 21006264, 21006363, 21006372, 21006404, 21006435, 21006490, 21006496, 21006522, 21006580, 21006612, 21006621, 21006637, 21006665, 21006736, 21006752, 21006762, 21006848, 21006884, 21006903, 21006906, 21006926, 21006941, 21006949, 21006975, 21006989, 21007108, 21007163, 21007178, 21007201, 21007301, 21007303, 21007357, 21007363, 21007399, 21007405, 21007449, 21007461, 21007501, 21007510, 21007579, 21007582, 21007584, 21007588, 21007628, 21007657, 21007688, 21007832, 21007840, 21007889, 21008032, 21008054, 21008064, 21008152, 21008166, 21008199, 21008199, 21008231, 21008231, 21008250, 21008261, 21008265, 21008271, 21008293, 21008318, 21008323, 21008474, 21008511, 21008590, 21008671, 21008726, 21008788, 21008839, 21008906, 21008915, 21008917, 21008934, 21008989, 21009009, 21009041, 21009046, 21009108, 21009166, 21009193, 21009197, 21009202, 21009211, 21009254, 21009283, 21009308, 21009315, 21009336, 21009352, 21009378, 21009432, 21009442, 21009503, 21009590, 21009594, 21009663, 21009725, 21009727, 21009745, 21009773, 21009830, 21009837, 21009870, 21009913, 21009917, 21009960, 21009994]",469
MAT1092,"[16000260, 16003408, 16007791, 16008485, 16008946, 17001723, 17004045, 17005014, 17005636, 17005657, 17006166, 17006730, 17007807, 17007911, 17008170, 17008217, 17008272, 17009699, 17009958, 18000326, 18000665, 18001317, 18001741, 18001815, 18002331, 18002697, 18003237, 18003895, 18004969, 18005120, 18005329, 18005783, 18005815, 18005893, 18006702, 18007359, 18007575, 18007748, 18007906, 18008002, 18008763, 18008990, 18009051, 18013363, 18014754, 19000098, 19000231, 19000320, 19000445, 19001655, 19002302, 19002541, 19002845, 19003551, 19004813, 19005667, 19006069, 19006160, 19006330, 19006677, 19008097, 19008142, 19008415, 19008806, 19008876, 19008947, 19008996, 19009416, 19009731, 19009817, 20000929, 20001059, 20001423, 20001858, 20002305, 20003254, 20003412, 20004803, 20004899, 20005420, 20005634, 20005783, 20005887, 20006362, 20006493, 20006526, 20007123, 20007457, 20007467, 20007535, 20007816, 20008002, 20008194, 20008923, 21000013, 21000061, 21000066, 21000150, 21000243, 21000245, 21000259, 21000314, 21000329, 21000455, 21000511, 21000521, 21000527, 21000582, 21000621, 21000758, 21000762, 21000777, 21000826, 21000847, 21000894, 21000908, 21000919, 21000929, 21000983, 21001008, 21001015, 21001016, 21001038, 21001258, 21001338, 21001370, 21001411, 21001468, 21001478, 21001513, 21001540, 21001550, 21001592, 21001761, 21001788, 21001838, 21001925, 21001970, 21001974, 21001978, 21001992, 21002045, 21002115, 21002133, 21002246, 21002340, 21002355, 21002358, 21002442, 21002559, 21002576, 21002658, 21002697, 21002816, 21002880, 21002894, 21003021, 21003053, 21003063, 21003067, 21003085, 21003155, 21003183, 21003212, 21003216, 21003223, 21003227, 21003242, 21003298, 21003379, 21003390, 21003433, 21003451, 21003546, 21003556, 21003602, 21003641, 21003804, 21003832, 21003871, 21003874, 21003889, 21003895, 21003912, 21004004, 21004045, 21004103, 21004114, 21004159, 21004215, 21004242, 21004257, 21004278, 21004284, 21004342, 21004366, 21004397, 21004443, 21004477, 21004489, 21004495, 21004613, 21004691, 21004730, 21004748, 21004786, 21004828, 21004905, 21004936, 21004945, 21004989, 21004990, 21005008, 21005016, 21005055, 21005059, 21005072, 21005150, 21005226, 21005316, 21005428, 21005458, 21005510, 21005513, 21005524, 21005756, 21005780, 21005795, 21005860, 21005950, 21006057, 21006062, 21006069, 21006074, 21006123, 21006126, 21006129, 21006213, 21006218, 21006272, 21006304, 21006411, 21006442, 21006493, 21006526, 21006569, 21006606, 21006718, 21006845, 21006889, 21007031, 21007034, 21007110, 21007123, 21007155, 21007156, 21007159, 21007240, 21007283, 21007345, 21007390, 21007481, 21007506, 21007511, 21007545, 21007626, 21007640, 21007644, 21007714, 21007723, 21007742, 21007746, 21007759, 21007781, 21007816, 21007885, 21007896, 21007899, 21008002, 21008031, 21008047, 21008129, 21008197, 21008485, 21008496, 21008571, 21008600, 21008602, 21008617, 21008624, 21008662, 21008668, 21008686, 21008704, 21008761, 21008772, 21008876, 21008932, 21008995, 21009056, 21009066, 21009072, 21009078, 21009078, 21009156, 21009158, 21009172, 21009194, 21009215, 21009238, 21009250, 21009264, 21009376, 21009428, 21009438, 21009446, 21009466, 21009471, 21009485, 21009535, 21009669, 21009707, 21009742, 21009787, 21009884, 21009892, 21009894, 21009932, 21009946, 21009962, 21009968]",331
MAT1092 CLCCNH,"[19000833, 19003602, 19006080, 21000004, 21000058, 21000275, 21000555, 21000761, 21000770, 21000860, 21000870, 21000950, 21001417, 21001489, 21001565, 21001591, 21001677, 21001679, 21001694, 21001761, 21002076, 21002102, 21002267, 21002400, 21002434, 21002536, 21002612, 21002673, 21002887, 21002891, 21002962, 21002964, 21003006, 21003010, 21003176, 21003184, 21003301, 21003365, 21003394, 21003481, 21003628, 21003659, 21003671, 21003691, 21003697, 21003710, 21003717, 21003793, 21003988, 21004055, 21004173, 21004218, 21004264, 21004265, 21004273, 21004575, 21004604, 21004613, 21004748, 21004979, 21005008, 21005020, 21005132, 21005301, 21005329, 21005334, 21005336, 21005366, 21005779, 21006156, 21006303, 21006570, 21006590, 21006606, 21006806, 21006892, 21006902, 21006976, 21006980, 21007082, 21007211, 21007307, 21007333, 21007364, 21007634, 21007665, 21007681, 21007747, 21007768, 21007802, 21007805, 21007885, 21008032, 21008035, 21008070, 21008170, 21008212, 21008326, 21008334, 21008506, 21009448, 21009472, 21009543, 21009618, 21009641, 21009652, 21009672, 21009695, 21009853, 21009929, 21009940]",111
MAT1092 CLCHD,"[18004215, 18006069, 18007411, 18008415, 18009244, 20001591, 21000154, 21000191, 21000254, 21000583, 21000683, 21000751, 21000917, 21001108, 21001233, 21001360, 21001462, 21001469, 21001610, 21001691, 21001716, 21001945, 21002016, 21002147, 21002176, 21002210, 21002566, 21003622, 21003623, 21003918, 21003943, 21004204, 21004287, 21004345, 21004373, 21004590, 21005009, 21005069, 21005372, 21005500, 21005952, 21006070, 21006153, 21006239, 21006714, 21006732, 21006748, 21006790, 21006828, 21006997, 21007254, 21007315, 21007475, 21007682, 21007729, 21008082, 21008478, 21008613, 21008663, 21009385, 21009428, 21009486, 21009640, 21009674, 21009683]",65
MAT1092 TTH,"[17005115, 18003810, 19007556, 19007575, 19007981, 19008584, 20001114, 20001158, 20001652, 20001813, 20002330, 20002845, 20004117, 20006330, 20007596, 20008806, 21000196, 21000412, 21000775, 21000824, 21000968, 21001114, 21001158, 21001432, 21001543, 21001711, 21001728, 21001813, 21002330, 21002845, 21002957, 21003013, 21003171, 21003777, 21004127, 21004662, 21004786, 21004827, 21005066, 21005339, 21005397, 21005890, 21005982, 21006166, 21006257, 21006330, 21006850, 21006856, 21007144, 21007437, 21008646, 21008720, 21009154, 21009300, 21009329, 21009764, 21009820, 21009849, 21009927]",59
MAT1101,"[16000260, 16003170, 16005006, 16006115, 16008258, 16008513, 16008531, 17000196, 17000229, 17002137, 17003673, 17005618, 17005746, 17006154, 17006630, 17006735, 17008451, 17008888, 17009653, 17108445, 18000338, 18000339, 18000511, 18001240, 18001615, 18001899, 18001996, 18002132, 18002541, 18002897, 18003171, 18003517, 18003544, 18003659, 18003770, 18003895, 18003897, 18004066, 18004098, 18004146, 18004215, 18004278, 18004599, 18004820, 18004901, 18004983, 18005092, 18005139, 18005242, 18005263, 18005893, 18005982, 18006257, 18006552, 18006869, 18006910, 18007411, 18007705, 18007805, 18007921, 18008602, 18008903, 18008990, 18009051, 18009154, 18009244, 18009940, 18009984, 18104983, 19000231, 19000283, 19000775, 19000969, 19001144, 19001763, 19002152, 19002462, 19002573, 19003223, 19003379, 19003551, 19003756, 19003895, 19004284, 19004285, 19004397, 19004658, 19004659, 19004665, 19004828, 19005034, 19005414, 19005420, 19005510, 19005525, 19005714, 19006303, 19006596, 19006598, 19007556, 19007833, 19007870, 19007981, 19008584, 19008932, 19009215, 19009535, 19009564, 19009594, 19009637, 19009870, 19010232, 19010957, 19011199, 19012105, 19012498, 19013220, 19013582, 19013942, 19014449, 19014546, 19015166, 19015600, 19015643, 19016853, 19017251, 19017275, 19017502, 19018448, 19019946, 19104901, 19108037, 20000127, 20000128, 20000328, 20000329, 20000401, 20000424, 20000455, 20000481, 20000590, 20000701, 20000821, 20000833, 20000870, 20000871, 20000880, 20000929, 20000962, 20001059, 20001199, 20001304, 20001338, 20001408, 20001423, 20001449, 20001473, 20001501, 20001503, 20001564, 20001565, 20001655, 20001669, 20001741, 20001854, 20001858, 20001887, 20001925, 20001978, 20002150, 20002225, 20002233, 20002252, 20002273, 20002310, 20002324, 20002452, 20002478, 20002563, 20002598, 20002658, 20002787, 20002841, 20002880, 20002894, 20002899, 20002974, 20003005, 20003088, 20003089, 20003106, 20003155, 20003220, 20003239, 20003291, 20003308, 20003344, 20003404, 20003422, 20003445, 20003453, 20003529, 20003549, 20003582, 20003641, 20003700, 20003785, 20003791, 20003801, 20003904, 20003909, 20003911, 20004071, 20004073, 20004121, 20004128, 20004245, 20004249, 20004308, 20004319, 20004348, 20004410, 20004443, 20004481, 20004496, 20004513, 20004630, 20004665, 20004670, 20004693, 20004719, 20004760, 20004771, 20004803, 20004824, 20004828, 20004839, 20004913, 20004922, 20004936, 20005016, 20005034, 20005059, 20005102, 20005287, 20005302, 20005314, 20005320, 20005336, 20005384, 20005385, 20005414, 20005420, 20005420, 20005583, 20005634, 20005675, 20005770, 20005829, 20005885, 20005887, 20005906, 20005928, 20005946, 20005950, 20006014, 20006075, 20006081, 20006231, 20006236, 20006314, 20006363, 20006490, 20006552, 20006580, 20006600, 20006612, 20006637, 20006651, 20006752, 20006763, 20006797, 20006906, 20006918, 20007092, 20007131, 20007152, 20007285, 20007299, 20007363, 20007405, 20007449, 20007511, 20007584, 20007626, 20007657, 20007729, 20007746, 20007796, 20007833, 20007904, 20007971, 20008054, 20008064, 20008152, 20008182, 20008199, 20008220, 20008231, 20008261, 20008402, 20008511, 20008590, 20008602, 20008704, 20008750, 20008762, 20008782, 20008934, 20009059, 20009193, 20009197, 20009254, 20009283, 20009315, 20009352, 20009438, 20009651, 20009692, 20009805, 20009913, 20009917, 20009960, 20009962, 20102540, 20105663, 20107861, 20108836, 20109805, 21000176, 21000199, 21000211, 21000329, 21000401, 21000419, 21000424, 21000514, 21000521, 21000525, 21000527, 21000621, 21000665, 21000683, 21000762, 21000791, 21000847, 21000865, 21000870, 21000929, 21000956, 21000962, 21000973, 21000979, 21001016, 21001054, 21001064, 21001142, 21001192, 21001360, 21001379, 21001394, 21001400, 21001423, 21001490, 21001513, 21001615, 21001676, 21001691, 21001716, 21001761, 21001787, 21001818, 21001841, 21001845, 21001909, 21001950, 21002017, 21002033, 21002118, 21002152, 21002178, 21002200, 21002201, 21002273, 21002331, 21002340, 21002349, 21002375, 21002452, 21002481, 21002558, 21002578, 21002608, 21002697, 21002777, 21002810, 21002839, 21002841, 21002872, 21002894, 21002897, 21002901, 21003015, 21003019, 21003021, 21003034, 21003088, 21003089, 21003155, 21003174, 21003216, 21003226, 21003227, 21003242, 21003270, 21003298, 21003390, 21003453, 21003546, 21003549, 21003556, 21003569, 21003602, 21003610, 21003755, 21003810, 21003824, 21003850, 21003863, 21003887, 21003895, 21003900, 21003974, 21003975, 21004032, 21004047, 21004090, 21004114, 21004141, 21004155, 21004162, 21004176, 21004223, 21004242, 21004257, 21004280, 21004359, 21004369, 21004472, 21004477, 21004495, 21004496, 21004547, 21004590, 21004592, 21004599, 21004603, 21004715, 21004719, 21004730, 21004739, 21004765, 21004786, 21004798, 21004828, 21004889, 21004899, 21004905, 21005009, 21005054, 21005072, 21005073, 21005079, 21005083, 21005108, 21005181, 21005226, 21005263, 21005295, 21005340, 21005412, 21005443, 21005579, 21005586, 21005595, 21005652, 21005687, 21005710, 21005725, 21005745, 21005756, 21005780, 21005860, 21005963, 21006022, 21006062, 21006069, 21006074, 21006081, 21006115, 21006180, 21006213, 21006218, 21006249, 21006304, 21006363, 21006386, 21006415, 21006516, 21006552, 21006599, 21006606, 21006621, 21006672, 21006724, 21006762, 21006792, 21006797, 21006806, 21006910, 21006970, 21007034, 21007110, 21007123, 21007246, 21007283, 21007322, 21007327, 21007330, 21007362, 21007411, 21007412, 21007419, 21007448, 21007505, 21007583, 21007601, 21007723, 21007746, 21007833, 21007885, 21007906, 21007933, 21008002, 21008054, 21008064, 21008073, 21008129, 21008199, 21008212, 21008220, 21008248, 21008288, 21008337, 21008377, 21008431, 21008485, 21008513, 21008600, 21008624, 21008653, 21008752, 21008761, 21008798, 21008860, 21008916, 21008992, 21008995, 21009062, 21009098, 21009107, 21009132, 21009161, 21009238, 21009266, 21009272, 21009314, 21009358, 21009364, 21009376, 21009398, 21009438, 21009448, 21009471, 21009538, 21009557, 21009600, 21009609, 21009616, 21009618, 21009669, 21009742, 21009760, 21009847, 21009851, 21009852, 21009884, 21009892, 21009894, 21009901, 21009940, 21009946, 21102746, 21104820, 21105643, 21109314]",616
MAT1192,"[16002563, 16009074, 17001243, 17001803, 17002250, 17006154, 17006630, 18000164, 18000259, 18001240, 18001679, 18003013, 18003510, 18003602, 18004604, 18005327, 18005600, 18005982, 18006622, 18007345, 18007364, 18007502, 18007705, 18007805, 18008197, 18008272, 18008510, 18008574, 18008799, 19001896, 19003152, 19003239, 19003390, 19004599, 19005055, 19005538, 19006672, 19006949, 19009172, 19009254, 19009870, 19009884, 19009932, 20000259, 20000733, 20000903, 20001565, 20001729, 20001887, 20002233, 20002327, 20003422, 20003532, 20003736, 20003756, 20004173, 20004498, 20004665, 20004751, 20004771, 20004839, 20005320, 20005436, 20005687, 20006074, 20006082, 20006272, 20006926, 20007889, 20008070, 20008686, 20009108, 20009907, 21000176, 21000199, 21000424, 21000445, 21000514, 21000525, 21000956, 21000962, 21001054, 21001064, 21001400, 21001490, 21001841, 21002033, 21002152, 21002201, 21002273, 21002375, 21002481, 21002531, 21002558, 21002841, 21002848, 21002872, 21002897, 21002972, 21003088, 21003089, 21003174, 21003270, 21003408, 21003755, 21003863, 21004028, 21004141, 21004155, 21004223, 21004369, 21004462, 21004472, 21004496, 21004590, 21004599, 21004603, 21004765, 21004889, 21004899, 21005054, 21005079, 21005083, 21005108, 21005340, 21005579, 21005586, 21005652, 21005710, 21005745, 21005963, 21006115, 21006180, 21006243, 21006249, 21006354, 21006363, 21006552, 21006588, 21006599, 21006672, 21007246, 21007322, 21007330, 21007411, 21007419, 21007448, 21007833, 21007906, 21007933, 21008073, 21008248, 21008377, 21008754, 21008798, 21008860, 21008992, 21009398]",158
MAT1192 CLCCNS,"[17003673, 18006501, 18008037, 19000515, 19005818, 19008662, 20005725, 20007771, 21000116, 21000145, 21000170, 21000203, 21000212, 21000482, 21000515, 21000535, 21000787, 21000830, 21000842, 21000979, 21001071, 21001237, 21001243, 21001243, 21001266, 21001328, 21001335, 21001495, 21001549, 21001787, 21001799, 21001828, 21001877, 21001910, 21001950, 21002043, 21002400, 21002415, 21002415, 21002523, 21002632, 21002660, 21003048, 21003105, 21003381, 21003532, 21003651, 21003669, 21003718, 21003770, 21004032, 21004128, 21004215, 21004280, 21004316, 21004542, 21004555, 21004702, 21005133, 21005238, 21005294, 21005443, 21005511, 21005550, 21005612, 21005657, 21005681, 21005694, 21005982, 21006022, 21006058, 21006273, 21006336, 21006445, 21006480, 21006522, 21006648, 21006735, 21006856, 21006927, 21007045, 21007056, 21007065, 21007176, 21007196, 21007232, 21007327, 21007402, 21007956, 21007991, 21008037, 21008162, 21008172, 21008273, 21008297, 21008452, 21008510, 21008511, 21008520, 21008544, 21008635, 21008657, 21008723, 21008800, 21008817, 21008855, 21008931, 21009084, 21009107, 21009188, 21009272, 21009364, 21009373, 21009435, 21009476, 21009663, 21009822, 21009884, 21009972]",119
MAT1192 QTS,"[16004481, 18003775, 19006590, 21000124, 21001441, 21001763, 21002584, 21002895, 21003055, 21003494, 21003587, 21004127, 21004529, 21004542, 21004654, 21005135, 21005287, 21005299, 21005410, 21005472, 21005788, 21005829, 21006322, 21006693, 21007764, 21008106, 21008261, 21008782, 21008909, 21009048, 21009845]",31
MAT1259 TNS,"[17006598, 18000338, 18005895, 18008398, 20000590, 20000701, 20001199, 20002899, 20003005, 20003220, 20003445, 20003582, 20003582, 20003622, 20003785, 20003791, 20004828, 20005102, 20005420, 20006075, 20006314, 20007092, 20008511, 20008788, 20009254, 20009315, 20009805, 20009913]",28
MAT1292 TNH,"[18003600, 21000426, 21001317, 21001723, 21001984, 21002110, 21003206, 21003226, 21004836, 21005484, 21006067, 21006221, 21007393, 21007939, 21008448, 21009671]",16
MAT1292 TNS,"[18006815, 18007475, 18008448, 18009466, 19004839, 19005898, 21001645, 21002176, 21003245, 21003746, 21004418, 21005556, 21005784, 21005845, 21006444, 21006482, 21006683, 21006710, 21006730, 21008398, 21009352, 21009489]",22
MAT2034,"[17004650, 18002598, 18003544, 18004215, 19000908, 19000973, 19001015, 19001154, 19001615, 19002132, 19002269, 19002540, 19002665, 19003063, 19003608, 19003785, 19004162, 19004725, 19004848, 19005092, 19006682, 19006710, 19006910, 19007049, 19007103, 19007959, 19008037, 19008172, 19008436, 19008573, 19009794, 19009851, 20001989, 20004300, 20006637, 21002541]",36
MAT2301,"[16005950, 17002523, 17002632, 17005017, 17006180, 17006906, 17007620, 17014449, 17102728, 18001456, 18001461, 18003053, 18003462, 18005226, 18007557, 18008995, 18009416, 18009675, 18019984, 19000201, 19000299, 19001160, 19001179, 19002509, 19002746, 19003035, 19005934, 19007410, 19009176, 19014027, 19014820, 19015139, 19017263, 19017336, 20000260, 20000288, 20000496, 20000528, 20001018, 20001243, 20001453, 20003226, 20003237, 20004176, 20006345, 20006693, 20008303, 20008444, 20008490, 20009324, 21000006, 21000045, 21000791, 21000888, 21000972, 21000973, 21001195, 21001212, 21001229, 21001457, 21001510, 21001567, 21001788, 21002012, 21002136, 21002211, 21002218, 21002277, 21002462, 21002524, 21002651, 21002657, 21002729, 21003000, 21003019, 21003609, 21003697, 21003703, 21003717, 21003718, 21003729, 21003732, 21003780, 21003818, 21003857, 21003882, 21003892, 21003966, 21004087, 21004257, 21004270, 21004382, 21004437, 21004492, 21004511, 21004514, 21004520, 21004591, 21004602, 21004620, 21004797, 21004807, 21004813, 21004917, 21004926, 21004959, 21005208, 21005337, 21005503, 21005563, 21005580, 21005623, 21005624, 21005811, 21006089, 21006115, 21006156, 21006379, 21006380, 21006446, 21006526, 21006548, 21006588, 21006607, 21006612, 21006651, 21006651, 21006706, 21006782, 21006821, 21007049, 21007054, 21007079, 21007103, 21007109, 21007179, 21007221, 21007424, 21007495, 21007593, 21007919, 21007936, 21007975, 21008194, 21008224, 21008405, 21008511, 21008858, 21008866, 21009051, 21009069, 21009237, 21009297, 21009326, 21009328, 21009354, 21009555, 21009958]",158
MAT2303,"[16005950, 16008988, 17000426, 17000957, 17001015, 17002523, 17002632, 17003445, 17003909, 17005017, 17006656, 17007155, 18000621, 18004495, 18005072, 18005513, 18006110, 18019984, 19001160, 19003035, 19003292, 19003532, 19006007, 19008317, 19009822, 19010899, 19012609, 19014828, 19014828, 19015139, 19018016, 20000496, 20001785, 20002559, 20004176, 20005472, 20006345, 20008303, 21000006, 21000045, 21000791, 21000888, 21000972, 21000973, 21001195, 21001212, 21001229, 21001457, 21001510, 21001567, 21001788, 21002012, 21002136, 21002211, 21002218, 21002277, 21002462, 21002524, 21002651, 21002657, 21002729, 21002743, 21003000, 21003019, 21003609, 21003667, 21003697, 21003703, 21003717, 21003718, 21003729, 21003732, 21003780, 21003798, 21003818, 21003857, 21003882, 21003892, 21003966, 21004087, 21004270, 21004382, 21004437, 21004492, 21004511, 21004514, 21004520, 21004591, 21004602, 21004620, 21004797, 21004807, 21004813, 21004917, 21004959, 21005208, 21005337, 21005503, 21005563, 21005580, 21005623, 21005624, 21005811, 21006089, 21006115, 21006156, 21006379, 21006380, 21006446, 21006526, 21006548, 21006588, 21006607, 21006612, 21006651, 21006651, 21006706, 21006782, 21006821, 21007049, 21007054, 21007079, 21007103, 21007109, 21007179, 21007221, 21007310, 21007424, 21007495, 21007593, 21007919, 21007936, 21007975, 21008194, 21008224, 21008405, 21008511, 21008858, 21008866, 21009051, 21009069, 21009237, 21009297, 21009326, 21009328, 21009354, 21009555, 21009958]",148
MAT2303 TNT,"[21001146, 21001289, 21001820, 21002157, 21002411, 21002761, 21003775, 21004781, 21005640, 21008574]",10
MAT2306,"[16008988, 17003438, 17007620, 17010957, 18000329, 18000621, 18003227, 18003308, 18004362, 18004905, 18004936, 18005320, 18006110, 18006218, 18006236, 18007123, 18007931, 18008129, 18008782, 18009321, 18009471, 18012728, 18013590, 18015020, 18017724, 19000897, 19001200, 19001571, 19001886, 19002341, 19002880, 19003206, 19003245, 19003292, 19003517, 19003521, 19003691, 19003732, 19003916, 19004418, 19004568, 19004754, 19005011, 19005550, 19006464, 19006622, 19007843, 19008514, 19008516, 19009538, 19010025, 19010073, 19010235, 19010757, 19011547, 19011984, 19012099, 19012110, 19012124, 19012191, 19012391, 19012469, 19012880, 19012889, 19013155, 19013226, 19013292, 19013392, 19013491, 19013875, 19013931, 19014149, 19014367, 19014558, 19014762, 19014828, 19014917, 19014917, 19015014, 19015164, 19015242, 19015327, 19015640, 19015833, 19015895, 19015925, 19015994, 19016080, 19016432, 19016482, 19016555, 19016981, 19017092, 19017115, 19017270, 19017279, 19017608, 19017624, 19017627, 19017663, 19017705, 19017724, 19018016, 19018149, 19018197, 19018297, 19018297, 19018337, 19018510, 19018525, 19018574, 19018601, 19018787, 19018799, 19019336, 19019412, 19019466, 19019473, 20000496, 20000951, 20001517, 20002137]",122
MAT2308,"[17000127, 17002124, 17002740, 17004650, 17009264, 18001097, 18001669, 18002972, 18003032, 18003454, 18004215, 18005719, 18007520, 18008590, 18008763, 18008893, 18009773, 18012980, 19001818, 19008317, 19010338, 19012532, 19012609, 19012915, 19015139, 19015618, 19016058, 19017251, 19017263, 19017336, 19018197, 19019236, 20000011, 20000060, 20000376, 20000660, 20000665, 20000842, 20000951, 20001018, 20001243, 20001365, 20001517, 20001740, 20001785, 20001899, 20002137, 20002514, 20002665, 20002766, 20002815, 20003863, 20004370, 20004767, 20004805, 20004826, 20004996, 20005054, 20005721, 20006162, 20006412, 20006607, 20006668, 20006724, 20006821, 20006828, 20007049, 20007255, 20007425, 20007457, 20007956, 20009840, 21002743, 21003667]",74
