subjectCode,MSVList,numberStudents
BIO2405E QTS,"[19000311, 19000370, 19001329, 19002150, 19003033, 19003389, 19004179, 19004410, 19005845, 19006372, 19006612, 19007750, 19009907]",13
BIO2504 TNS,"[17008800, 18000338, 19001710, 19001862, 19002611, 19003433, 19003782, 19003918, 19004449, 19004693, 19004839, 19005337, 19005618, 19005898, 19006596, 19006950, 19007115, 19007285, 19009193, 19009352, 19009746]",21
BIO2516 CLCCNS,"[17005075, 19000013, 19000061, 19000203, 19000515, 19000547, 19000758, 19000762, 19000929, 19000983, 19001210, 19001370, 19001513, 19001727, 19001761, 19001788, 19001925, 19001974, 19002331, 19002691, 19002697, 19002853, 19002880, 19003063, 19003223, 19003347, 19003379, 19003529, 19003544, 19003700, 19003801, 19003874, 19004004, 19004045, 19004159, 19004261, 19004395, 19004397, 19004408, 19004495, 19004603, 19004922, 19004945, 19005059, 19005510, 19005524, 19005687, 19005818, 19005900, 19005950, 19006057, 19006272, 19007110, 19007156, 19007345, 19007359, 19007511, 19007640, 19007762, 19007896, 19008070, 19008112, 19008182, 19008182, 19008496, 19008569, 19008602, 19008617, 19008662, 19008686, 19008761, 19008932, 19009078, 19009194, 19009428, 19009535, 19009555, 19009557, 19009742, 19009774, 19009962, 20001716, 20006480, 20009084, 20009806, 21008800]",86
BIO2800 CLCCNS,"[17005075, 18000274, 18001071, 18002132, 18004162, 19000013, 19000061, 19000203, 19000515, 19000547, 19000758, 19000762, 19000929, 19000983, 19001210, 19001370, 19001513, 19001727, 19001761, 19001788, 19001925, 19001974, 19002331, 19002691, 19002697, 19002853, 19002880, 19003063, 19003223, 19003347, 19003379, 19003529, 19003544, 19003700, 19003801, 19003874, 19004004, 19004045, 19004159, 19004261, 19004395, 19004397, 19004408, 19004495, 19004603, 19004922, 19004945, 19005059, 19005510, 19005524, 19005687, 19005818, 19005900, 19005950, 19006057, 19006272, 19007110, 19007156, 19007345, 19007359, 19007511, 19007640, 19007762, 19007896, 19008070, 19008112, 19008182, 19008182, 19008496, 19008569, 19008602, 19008617, 19008662, 19008686, 19008761, 19008932, 19009072, 19009078, 19009194, 19009428, 19009535, 19009555, 19009557, 19009742, 19009774, 19009962, 20002176, 20006748, 21008172]",89
BIO3098,"[17000751, 17006735, 17007746, 17008194, 18000003, 18000590, 18001902, 18002176, 18002746, 18002880, 18003005, 18003521, 18003942, 18004983, 18005020, 18005463, 18006622, 18006923, 18007034, 18007408, 18007410, 18007627, 18007724, 18007985, 18008445, 18008516, 18008909, 18009984, 21005403, 21007510]",30
BIO3099,"[17004298, 17007746, 18000757, 18002469, 18004547, 18005020, 18005255, 18006432, 18006923, 18007279, 18007502]",11
BIO3178 CLCCNS,"[17006908, 17008415, 18005525, 18006910, 19003223, 19007405, 20000254, 20000860, 20007771, 21000116, 21000170, 21000203, 21000212, 21000482, 21000515, 21000535, 21000787, 21000830, 21000842, 21001071, 21001237, 21001243, 21001243, 21001266, 21001328, 21001335, 21001495, 21001549, 21001787, 21001799, 21001828, 21001877, 21001910, 21001950, 21002043, 21002400, 21002415, 21002415, 21002523, 21002632, 21002660, 21003048, 21003105, 21003381, 21003532, 21003651, 21003669, 21003718, 21003770, 21003842, 21003989, 21004003, 21004032, 21004128, 21004141, 21004168, 21004215, 21004316, 21004542, 21004555, 21004702, 21005054, 21005133, 21005238, 21005294, 21005511, 21005550, 21005612, 21005657, 21005681, 21005694, 21005982, 21006022, 21006058, 21006273, 21006336, 21006445, 21006480, 21006522, 21006648, 21006735, 21006856, 21006927, 21007045, 21007056, 21007065, 21007176, 21007196, 21007232, 21007327, 21007365, 21007402, 21007831, 21007956, 21007991, 21008037, 21008162, 21008273, 21008297, 21008452, 21008510, 21008511, 21008520, 21008544, 21008635, 21008657, 21008723, 21008754, 21008800, 21008817, 21008855, 21008931, 21009084, 21009188, 21009364, 21009373, 21009435, 21009446, 21009471, 21009476, 21009663, 21009822, 21009884, 21009972]",124
BIO3182 CLCCNS,"[17003673, 18000398, 18000595, 18001615, 18003248, 18004539, 18005556, 18008037, 19003347, 20000191, 20000254, 20000555, 20000583, 20000740, 20000860, 20000908, 20001015, 20001108, 20001360, 20001371, 20001462, 20001469, 20001495, 20001691, 20001716, 20001945, 20002176, 20002210, 20002606, 20002612, 20002962, 20003041, 20003366, 20003556, 20003623, 20003918, 20003943, 20004204, 20004350, 20004373, 20004450, 20004532, 20004590, 20005069, 20005334, 20005550, 20005603, 20005681, 20005952, 20006070, 20006153, 20006156, 20006239, 20006273, 20006451, 20006480, 20006501, 20006598, 20006714, 20006732, 20006748, 20006852, 20006942, 20006980, 20006997, 20007327, 20007475, 20007634, 20007681, 20007768, 20007885, 20008032, 20008297, 20008510, 20008657, 20008663, 20008800, 20009385, 20009486, 20009489, 20009674, 20009683, 20009806, 20009853, 20009918]",85
BIO3190,"[20000134, 20000137, 20000206, 20000394, 20000416, 20000448, 20000458, 20000502, 20000691, 20000792, 20000923, 20000959, 20000995, 20001298, 20001426, 20001465, 20001679, 20001687, 20001801, 20001896, 20002183, 20002478, 20002553, 20002648, 20002650, 20003057, 20003136, 20003300, 20003476, 20003565, 20003666, 20003682, 20003742, 20003876, 20003968, 20004100, 20004126, 20004165, 20004560, 20004586, 20004615, 20004630, 20004644, 20004645, 20004709, 20004727, 20004898, 20005053, 20005102, 20005143, 20005385, 20005461, 20005663, 20005795, 20006098, 20006186, 20006404, 20006435, 20006496, 20006665, 20006736, 20006797, 20006975, 20006989, 20007023, 20007163, 20007178, 20007303, 20007461, 20007501, 20007579, 20007588, 20007593, 20007832, 20007932, 20008100, 20008231, 20008265, 20008906, 20008917, 20008989, 20009166, 20009211, 20009308, 20009616, 20009725, 20009837, 21003900, 21004090, 21005073]",90
BIO3191,"[20000134, 20000137, 20000206, 20000394, 20000416, 20000448, 20000458, 20000502, 20000691, 20000792, 20000923, 20000959, 20000995, 20001298, 20001426, 20001465, 20001679, 20001687, 20001801, 20001896, 20002183, 20002478, 20002553, 20002648, 20002650, 20003057, 20003136, 20003300, 20003476, 20003565, 20003666, 20003682, 20003742, 20003876, 20003968, 20004100, 20004126, 20004165, 20004560, 20004586, 20004615, 20004630, 20004644, 20004645, 20004709, 20004727, 20004898, 20005053, 20005102, 20005143, 20005385, 20005461, 20005663, 20005795, 20006098, 20006186, 20006404, 20006435, 20006496, 20006665, 20006736, 20006797, 20006975, 20006989, 20007023, 20007163, 20007178, 20007303, 20007461, 20007501, 20007579, 20007588, 20007593, 20007832, 20007932, 20008100, 20008231, 20008265, 20008906, 20008917, 20008989, 20009166, 20009211, 20009308, 20009616, 20009725, 20009837, 21003975, 21005295, 21009132]",90
BIO3201,"[18002391, 18004654, 18005327, 18005857, 18005982, 18007401, 18007475, 18009314, 19000697, 19011199, 19013023, 19015600, 19015643, 19016181, 19017371, 19017502, 19017574, 19017642, 19018448, 20000299, 20000903, 20001564, 20001739, 20002195, 20002943, 20004071, 20004128, 20005420, 20005770, 20006236, 20007363, 20008166, 20008295, 20008325, 20008763, 20009336, 20009432, 20009663, 21000127, 21000202, 21000481, 21000567, 21000833, 21000903, 21001200, 21001207, 21001304, 21001503, 21001564, 21001736, 21001739, 21001887, 21002104, 21002195, 21002225, 21002361, 21002752, 21002953, 21003033, 21003239, 21003453, 21003659, 21003673, 21003873, 21003909, 21003951, 21004121, 21004128, 21004348, 21004913, 21005017, 21005075, 21005320, 21005336, 21005420, 21005954, 21006014, 21006075, 21006264, 21006490, 21006580, 21006719, 21006848, 21006906, 21007363, 21007399, 21007584, 21007796, 21008152, 21008166, 21008231, 21008261, 21008590, 21008788, 21008934, 21009202, 21009336, 21009432, 21009594]",99
BIO3205,[],0
BIO3227E QTS,"[19000311, 19000370, 19001329, 19002150, 19003033, 19003389, 19004179, 19004410, 19005845, 19006372, 19006612, 19007750, 19009907]",13
BIO3252,"[18000025, 18000957, 18001650, 18003206, 18003363, 18004418, 18004449, 18004565, 18005982, 18006656, 18007034, 18007092, 18008197, 18008468, 18008714, 19000012, 19000307, 19000380, 19000545, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004128, 19004146, 19004235, 19004249, 19004315, 19004348, 19004987, 19005017, 19005135, 19005530, 19005538, 19005928, 19005954, 19006081, 19006762, 19007176, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917, 20000903, 20003248, 20005375, 20009336]",74
BIO3252E QTS,"[16003170, 18009818, 19000311, 19000370, 19001329, 19002150, 19003033, 19003389, 19004179, 19004410, 19005845, 19006372, 19006612, 19007750, 19009907, 21000145]",16
BIO3257 TNS,"[18000338, 18003041, 18005069, 18008429, 19001710, 19001862, 19002611, 19003433, 19003782, 19003918, 19004449, 19004693, 19004839, 19005255, 19005337, 19005618, 19005898, 19006950, 19007115, 19007285, 19009193, 19009352, 19009746, 20003582]",24
BIO3258,"[17002345, 17006908, 18001179, 18001200, 18001877, 18001886, 18002302, 18006568, 18006930, 18007092, 18007401, 18008601, 18009314, 19000880, 19004348, 19004987, 19005075, 20000299, 20000481, 20000521, 20000871, 20000903, 20001304, 20001433, 20001736, 20001763, 20001887, 20002225, 20002361, 20002505, 20002943, 20003155, 20003239, 20003334, 20003357, 20003453, 20003587, 20003756, 20003909, 20004071, 20004073, 20004121, 20004128, 20004146, 20004249, 20004348, 20004913, 20005287, 20005420, 20005770, 20005829, 20005954, 20006014, 20006081, 20006363, 20006490, 20006580, 20006719, 20006752, 20006906, 20007131, 20007399, 20007584, 20008152, 20008166, 20008231, 20008261, 20008295, 20008590, 20008782, 20008934, 20009336, 20009432, 20009651, 20009845]",75
BIO3258E QTS,"[18007705, 20000012, 20000567, 20002391, 20003227, 20003546, 20003659, 20003951, 20006053, 20006067, 20006357, 20006950, 20007053, 20007691, 20008474, 20008624, 20009837]",17
