MSV,classCode,subjectCode
17007620,MAT2306 1,MAT2306
17007620,MAT2311,MAT2311
17007620,MAT3347 2,MAT3347
17007620,PHI1002 4,PHI1002
17007746,BIO3098,BIO3098
17007746,BIO3099,BIO3099
17007746,BIO3304 4,BIO3304
17007746,CHE1057 2,CHE1057
17007807,E363 TTKHMT,E363 TTKHMT
17007807,MAT1092 3,MAT1092
17007807,MAT2403 3,MAT2403
17007866,BIO3304 4,BIO3304
17007866,MAT1091 3,MAT1091
17007870,PHY1100 7,PHY1100
17007911,MAT1092 7,MAT1092
17007975,CHE1048,CHE1048
17007975,CHE1067 1CLCHD,CHE1067 CLCHD
17007975,CHE1090,CHE1090
17007975,HIS1056 1,HIS1056
17007975,PHY1103 1,PHY1103
17008031,CHE1090,CHE1090
17008064,PHY1100 4,PHY1100
17008064,PHY1103 5,PHY1103
17008148,CHE1052,CHE1052
17008170,CHE1065,CHE1065
17008170,MAT1092 1,MAT1092
17008170,PHY1100 13,PHY1100
17008194,BIO3098,BIO3098
17008194,BIO3304 4,BIO3304
17008217,MAT1092 6,MAT1092
17008217,PHI1002 11,PHI1002
17008272,MAT1091 3,MAT1091
17008272,MAT1092 2,MAT1092
17008293,EVS3232,EVS3232
17008293,EVS4073 2,EVS4073
17008415,BIO3178 2CLCCNS,BIO3178 CLCCNS
17008451,CHE1065,CHE1065
17008451,CHE3045,CHE3045
17008451,MAT1101 5,MAT1101
17008451,PHY1103 11,PHY1103
17008511,MAT2403 3,MAT2403
17008511,MAT3525,MAT3525
17008511,MAT3539 1,MAT3539
17008511,PHY1103 11,PHY1103
17008525,CHE1080 2,CHE1080
17008525,MAT1090 1,MAT1090
17008525,PHY1103 3,PHY1103
17008573,MAT2403 3,MAT2403
17008573,MAT2502 1,MAT2502
17008573,MAT3500 1,MAT3500
17008573,MAT3525,MAT3525
17008573,MAT3539 1,MAT3539
17008686,MAT3525,MAT3525
17008788,MAT3514 1,MAT3514
17008788,MAT3525,MAT3525
17008800,BIO2089 TNS,BIO2089 TNS
17008800,BIO2504 TNS,BIO2504 TNS
17008800,BIO3263 TNS,BIO3263 TNS
17008800,BIO3377 TNS,BIO3377 TNS
17008888,CHE1080 5,CHE1080
17008888,MAT1101 14,MAT1101
17008903,MAT3514 1,MAT3514
17009066,CHE1081 10,CHE1081
17009066,MAT1090 1,MAT1090
17009066,PHY1103 2,PHY1103
17009264,MAT2308,MAT2308
17009264,MAT3452 1,MAT3452
17009264,MAT3539 1,MAT3539
17009381,EVS3232,EVS3232
17009472,CHE3045,CHE3045
17009653,MAT1101 4,MAT1101
17009699,CHE2021,CHE2021
17009699,CHE3253,CHE3253
17009699,MAT1092 3,MAT1092
17009699,PHY1100 12,PHY1100
17009699,PHY1103 11,PHY1103
17009820,PHI1002 12,PHI1002
17009845,MAT3525,MAT3525
17009894,MAT2311,MAT2311
17009958,E363 TTKHMT,E363 TTKHMT
17009958,MAT1092 3,MAT1092
17009958,MAT2403 3,MAT2403
17010957,MAT2306 2,MAT2306
17010957,PHY2500 1,PHY2500
17011200,PHY1113 5,PHY1113
17011200,PHY3163,PHY3163
17011200,PHY3606,PHY3606
17012016,PHY2302 5,PHY2302
17014449,MAT2301 1,MAT2301
17014568,PHY2304 1,PHY2304
17015011,PHY2302 6,PHY2302
17015011,PHY3163,PHY3163
17015011,PHY3606,PHY3606
17017069,MAT3305,MAT3305
17017132,BIO3302 1,BIO3302
17017310,PHY2304 5,PHY2304
17018714,PHY2304 5,PHY2304
17102728,CHE1080 3,CHE1080
17102728,MAT2301 2,MAT2301
17102761,CHE1080 4,CHE1080
17102761,CHE1081 3,CHE1081
17103491,POL1001 10,POL1001
17103517,CHE1080 5,CHE1080
17104149,MAT1091 10,MAT1091
17105255,SMP1055 1,SMP1055
17105588,HIS1001 6,HIS1001
17105588,PHI1002 1,PHI1002
17105588,POL1001 3,POL1001
17105588,SMP1012 8,SMP1012
