classCode,MSVList,numberStudents
BIO2204 1,"[19011146, 19016825, 19016276, 20009773, 20000545, 20003389, 20003076, 20004854, 19014273, 19000307, 20009108, 19019638, 20009046, 19007405, 20003248, 19014820, 20006082, 19012498, 19013582, 19013942, 20008323, 19011025, 19019946, 19015643, 20005375]",25
BIO2204 2,"[20007201, 20003904, 19014547, 19001563, 20000954, 20005530, 19000145, 18008510, 19008152, 20000380, 20008680, 20007750, 20003532, 19007201, 20008966, 19000954, 19017642, 20003422, 20007043, 19019984, 20003089, 19012728, 19017069, 19009917, 19014027]",25
BIO2204 3,"[20003032, 20000038, 20009047, 20000733, 20001329, 20006949, 20003206, 19004128, 20003731, 20006231, 20005314, 20009917, 20000880, 20005436, 20005135, 20009669, 20001097, 20009994, 20005106, 20007983, 20006926, 20001940, 20001729, 20004751, 20009197]",25
BIO2204 4,"[19003239, 20002288, 20003736, 20009907, 20006372, 19000903, 20003656, 20008032, 19017982, 20001206, 20002118, 20009283, 20005538, 20001896, 20003782, 19003571, 20007889, 20004410, 20008318, 19006949, 20001565, 20003516, 20004179, 20009663, 18004983]",25
BIO2206 1,"[19003239, 19001563, 19005017, 19000145, 19008763, 19000903, 19007363, 19003587, 20000833, 20009745, 20005336, 19007201, 19003571, 21006752, 19006949, 21000145, 20001503, 19005538]",18
BIO2206 2,"[19003334, 20007201, 19009432, 20002288, 19005954, 19000871, 19003951, 20006372, 19008152, 19007584, 20003656, 20008032, 19008934, 20007750, 19009254, 20001206, 20005538, 19005530, 19003736, 19000380, 19009315, 19008032, 19009917, 19005135, 20005375]",25
BIO2206 3,"[19011146, 19008788, 19004249, 19016825, 19003659, 19016276, 19009594, 19001739, 20008680, 19009870, 19002972, 19009047, 19002671, 19004315, 19000954, 19003076, 19003731, 19019984, 19019575, 19007301, 19012728, 19000012, 19007688, 19009108, 19002118]",25
BIO2210 1,"[21101146, 21104917, 21100033, 21104149, 21107608, 21101984, 21102105, 21107982, 21105618, 21101950, 21101199, 21102130, 21106058, 21104458, 21102469, 21107642, 21100232, 21103381, 21104565, 21104558, 21108252, 21107251, 21107401, 21100590, 21106555, 21109946, 21104828]",27
BIO2210 2,"[21100235, 21104547, 21101289, 21108787, 21108510, 21108297, 21103392, 21107705, 21107279, 21104762, 21103023, 21104273, 21105164, 21109236, 21104917, 21107275, 21105014, 21106482, 21101547, 21104828, 21106930, 21107424, 21107263, 21101025, 21109699, 21100025, 18005705]",27
BIO2210 3,"[21108574, 21106825, 21109336, 21104367, 21109771, 21105833, 21106981, 21107157, 21103602, 21106596, 21104344, 21102721, 21103220, 21108525, 21101710, 21105640, 21104851, 21108261, 21109328, 21108601, 21100277, 21106181, 21100726, 21103155, 21102728, 21102099, 21104027]",27
BIO2210 4,"[21105994, 21102761, 21102191, 21105139, 21109473, 21105925, 21107188, 21105242, 21100610, 21107270, 21105255, 21102611, 21105600, 21103875, 21102253, 21105166, 21108297, 21107203, 21100073, 21104820, 21106730, 21103582, 21103005, 21104449, 21109575, 21107092, 21107724]",27
BIO2210 5,"[21107336, 21103775, 18101289, 21102667, 21100757, 21108149, 21107115, 21102532, 21109746, 19000307, 21107371, 18103023, 21106432, 21103931, 21107574, 21103317, 21102176, 21102498, 21109984, 21107663, 21106815, 21109466, 21108599, 21107985, 21107069, 21103226]",26
BIO2210 6,"[21102915, 21109412, 21107624, 21105327, 21100899, 21104818, 21100426, 19107188, 21107502, 21106853, 21107992, 21104218, 21109638, 18005020, 21102110, 21108337, 18001855, 21103942, 18005463, 21102342, 21108016, 21101654, 21108448, 21100957, 21105643]",25
BIO2210 7CLCRHM,"[21100829, 21104515, 21109997, 21100073, 21106444, 21100908, 21101015, 21106710, 21102132, 21102269, 21105556, 21101071, 21102540, 21101615, 21101486, 21107345, 21109851, 21106910, 21107959, 21107336, 21103785, 21105092, 21109280, 21107835, 21101710]",25
BIO2210 8CLCRHM,"[21108969, 21109975, 21103873, 21106682, 21100338, 21108857, 21107049, 21108172, 21101154, 21107196, 21104539, 21108836, 21106163, 21107999, 21108037, 21103608, 21101645, 21100595, 21103063, 21104162, 21109794, 21102810, 21104065, 21108659, 21100398]",25
BIO2215E 1CLCCNS,"[19008070, 19002880, 19003063, 19002331, 19004397, 19008761, 19007762, 19004395, 19002691, 19008617, 18001710]",11
BIO2215E 2CLCCNS,"[19005818, 19000762, 19005687, 19001925, 19003801, 19008686, 19001370, 19001761, 19004495, 19009555, 19004603, 19003874, 19004408, 19008662, 19006057, 19004922, 19007156, 19005524]",18
BIO2215E 3CLCCNS,"[20006852, 19001974, 19008569, 19008932, 19007359]",5
BIO2215E 4CLCCNS,"[19003700, 19005059, 19009774, 19000515, 19002697, 19007511, 19009962, 19009078, 19004159, 19000203, 19009742, 19001513, 19008182, 19007110, 19007896, 19003544, 19002853, 19008602]",18
BIO2215E 5CLCCNS,"[17005075, 19007345, 19001727, 19000983, 19003529, 19004261, 19004945, 19005510, 19009194, 19007640, 19003223, 19003379, 19009535, 19008182, 19009428]",15
BIO2215E 6CLCCNS,"[19005900, 19000929, 19006272, 19009557, 19005950, 20009486, 19000547, 19001210, 19000758, 19001788, 19004004, 19003347, 19008112, 19000013, 19008496, 19004045]",16
BIO2220 1,"[19006082, 18008510, 19009663, 19008064, 18005898, 19002246, 20008680, 19001814, 18008391, 19004137, 19002472, 19000401, 20008064]",13
BIO2220 2,"[19001896, 19007983, 19009046, 19003248, 19001565, 19008323, 19006621, 19003089, 19001940, 19000701, 19005375, 19004751, 19006053, 19004771, 19009870, 19003507, 19007583, 19002954, 19004822, 19001501, 19001423, 19009699, 19009046, 19008915, 19004298]",25
BIO2220 3,"[19007889, 19009994, 19008318, 19004658, 19002899, 19009041, 19009197, 18008250, 19005928, 19005906, 19009590, 19009946, 19006034, 19008839, 19003350, 21006588, 19004738, 19009059, 19005034, 19008293, 19006637, 19004665, 19002327, 19003549]",24
BIO2220 4,"[19005106, 19005102, 19005420, 19003516, 19004348, 18004828, 19007657, 19002324, 19008271, 19003123, 19000697, 19008054, 19003736, 19001343, 19000702, 19002315, 19000128, 19001615, 19001122, 19004235]",20
BIO2400E 1CLCCNS,"[20000191, 20004373, 20006501, 20006153, 20009385, 20000740, 20002210, 20003623, 20000583, 20007768, 20007681, 20000860, 20001691, 20008663, 20006714, 20002612, 20008800, 20008510]",18
BIO2400E 2CLCCNS,"[20006451, 20006732, 20001945, 20009486, 20000908, 20001015, 19009194, 20003366, 20004204, 18001615, 19008569, 20008297, 17003673, 20001495, 20008657, 20006273]",16
BIO2400E 3CLCCNS,"[20003556, 20009806, 20004590, 20003943, 20003918, 20000254, 20006748, 20002606, 20006997, 20007885, 20009853, 20001360, 20007634, 19003347, 20006239, 20001716, 20006980, 20005681]",18
BIO2400E 4CLCCNS,"[20006070, 20005069, 20003041, 20009683, 20009918, 20001371, 20005334, 20006156, 20008032, 20001108, 20006598, 20006942, 18008836, 20005603, 20000555, 20007327]",16
BIO2400E 5CLCCNS,"[20009674, 20007475, 20005372, 20001462, 17002957, 20002962, 20004350, 20005550, 20009489]",9
BIO2400E 6CLCCNS,"[20008334, 20004532, 18003248, 20002566, 20006852, 18005556, 20001610, 21006522, 20002176, 20004450, 20009084]",11
BIO2403E 1CLCCNS,"[21001328, 21008855, 21008452, 21007831, 21008037, 21003770, 21002415, 21006522, 21000170]",9
BIO2403E 2CLCCNS,"[21009084, 21005657, 21001266, 21009972]",4
BIO2403E 3CLCCNS,"[21002632, 21008510, 20000254, 21001950, 21004702, 21000212, 21009446, 21008635, 21007176, 21004032, 21004128]",11
BIO2403E 4CLCCNS,"[19005818, 20002566, 21007056, 21002660, 21008162, 20005725, 19008662, 21001549, 21008511, 21009822, 21002523, 21008817, 21005133, 21003669, 21004316, 21002043]",16
BIO2403E 5CLCCNS,"[21004280, 18009837, 21008754, 21001799, 18005556, 21008520, 21007045, 21006058, 21002415, 21008273, 21005612, 21007402]",12
BIO2403E 6CLCCNS,"[21001243, 21003651, 21001877, 21008723, 21007065, 21005550, 21005982, 21006927, 21000787, 21009435, 21002400, 21004215, 21003048, 21000116, 21007991, 21000203]",16
BIO2403E 7CLCCNS,"[21001243, 21001237, 21007956, 21006648, 21008657, 21006336, 21000830, 21007196, 21006735, 21003105, 21003718, 21005694, 20007634, 21001828, 21009373]",15
BIO2403E 8CLCCNS,"[21006480, 21008297, 21003381, 21000842, 20006451, 21001495, 21007327, 21006273, 21006445, 21009188, 21001071, 21004542, 21008544, 21004555, 21008931, 20000860]",16
BIO2403E 9CLCCNS,"[21005238, 21009884, 21003532, 21005511, 21009663, 18006910]",6
BIO2405E QTS,"[19004410, 19004179, 19003033, 19001329, 19003389, 19009907, 19000311, 19006372, 19006612, 19000370, 19007750, 19005845, 19002150]",13
BIO2504 TNS,"[19003782, 19001862, 18000338, 19005898, 19006950, 19007115, 19002611, 19003918, 19004693, 19001710, 17008800, 19007285, 19009746, 19009352, 19003433, 19004449, 19004839, 19006596, 19009193, 19005618, 19005337]",21
BIO2516 1CLCCNS,"[19008070, 19005687, 19001925, 19002880, 19003801, 19008686, 19004397, 19009555, 19003874, 19004408, 19006057, 19000061, 19008617]",13
BIO2516 2CLCCNS,"[19003063, 19002331, 19001761, 19001974, 19004603, 19004395, 19008569, 19008932, 19004922, 19007359, 19007156, 19005524]",12
BIO2516 3CLCCNS,"[19005818, 19000762, 19001370, 19001210, 19004495, 19008761, 19007762, 19008662, 19002691]",9
BIO2516 4CLCCNS,"[19003700, 17005075, 19000929, 19002697, 19001727, 19000983, 19007511, 19004261, 19009078, 19004945, 19000203, 19001788, 19008182, 19007110, 19003379, 19008496, 19002853, 19008602]",18
BIO2516 5CLCCNS,"[19005900, 21008800, 19007345, 19006272, 19005059, 19005950, 19003529, 19000547, 19009962, 19004159, 19009194, 19001513, 19004004, 19008112, 19007896, 19000013, 19003544, 19008182]",18
BIO2516 6CLCCNS,"[20009806, 19009557, 19009774, 19000515, 19005510, 19000758, 19009742, 19007640, 19003347, 19003223, 20001716, 20006480, 19009535, 20009084, 19004045, 19009428]",16
BIO2800 1CLCCNS,"[19008070, 21008172, 19002880, 19002331, 19004397, 19008761, 19007762, 18001071, 19004408, 19004395, 19004004, 19002691]",12
BIO2800 2CLCCNS,"[19005818, 19000762, 19005687, 19001925, 19003801, 19008686, 19001370, 19001761, 19004495, 19009555, 19004603, 19003874, 19008662, 19006057, 19008932, 19004922, 19000061, 19007156]",18
BIO2800 3CLCCNS,"[19003063, 19001974, 19001210, 19008569, 19008617, 19007359]",6
BIO2800 4CLCCNS,"[19003700, 18000274, 19005059, 19009774, 19000515, 19002697, 19007511, 19009962, 19009078, 19004159, 19000203, 19009742, 19001513, 19008182, 19007110, 19002853, 19008602]",17
BIO2800 5CLCCNS,"[17005075, 19007345, 19001727, 19000983, 20006748, 19003529, 19004261, 19004945, 19005510, 18002132, 19009194, 19007640, 19003223, 19003379, 19009535, 19008182, 19005524, 19009428]",18
BIO2800 6CLCCNS,"[19005900, 19000929, 19006272, 19009557, 19005950, 19000547, 19009072, 19000758, 19001788, 20002176, 19003347, 19008112, 19007896, 18004162, 19000013, 19008496, 19003544, 19004045]",18
