MSV,classCodeList,subjectCodeList
19006357,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 2CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19006362,"['CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']"
19006372,"['BIO2405E QTS', 'BIO3227E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3372E QTS']","['BIO2405E QTS', 'BIO3227E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3372E QTS']"
19006377,"['PHI1002 6', 'PHY3167 2', 'PHY3302']","['PHI1002', 'PHY3167', 'PHY3302']"
19006378,"['CHE1075', 'CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE1075', 'CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']"
19006379,"['PHI1002 6', 'PHY1108 7', 'PHY3167 2', 'PHY3302']","['PHI1002', 'PHY1108', 'PHY3167', 'PHY3302']"
19006380,"['PHY3167 2', 'PHY3302']","['PHY3167', 'PHY3302']"
19006387,"['MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3533']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3533']"
19006389,"['MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT']"
19006391,"['EVS3158', 'EVS3232', 'EVS3244 2', 'EVS3287', 'EVS4073 1']","['EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073']"
19006407,"['EVS2017', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'POL1001 4']","['EVS2017', 'EVS2109', 'EVS3244', 'EVS3248', 'EVS3409', 'POL1001']"
19006446,"['CHE1080 3', 'PHI1002 6', 'PHY1108 7', 'PHY3167 1', 'PHY3302']","['CHE1080', 'PHI1002', 'PHY1108', 'PHY3167', 'PHY3302']"
19006452,"['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']","['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']"
19006453,"['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229', 'PHY1103 2']","['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229', 'PHY1103']"
19006464,"['MAT1076', 'MAT2306 1', 'MAT2311', 'MAT3306', 'MAT3347 1']","['MAT1076', 'MAT2306', 'MAT2311', 'MAT3306', 'MAT3347']"
19006490,"['CHE1048 2CLCCNH', 'CHE1067 2CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 1CLCHD']","['CHE1048 CLCCNH', 'CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006493,"['CHE1048', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD']","['CHE1048', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006503,"['EVS2017', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'PHY1100 2']","['EVS2017', 'EVS2109', 'EVS3244', 'EVS3248', 'EVS3409', 'PHY1100']"
19006526,"['PHY1113 7', 'PHY2302 3', 'PHY2304 7']","['PHY1113', 'PHY2302', 'PHY2304']"
19006537,"['CHE1075', 'CHE1084', 'CHE1090']","['CHE1075', 'CHE1084', 'CHE1090']"
19006542,"['GEO2304', 'GEO3143', 'GEO3360', 'HIS1001 2', 'MAT1090 2', 'PHI1002 4']","['GEO2304', 'GEO3143', 'GEO3360', 'HIS1001', 'MAT1090', 'PHI1002']"
19006548,"['PHY1113 3', 'PHY3167 1', 'PHY3302']","['PHY1113', 'PHY3167', 'PHY3302']"
19006552,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'PHY1100 10']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'PHY1100']"
19006556,"['CHE1048 2CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 2CLCCNH', 'CHE3254 2CLCCNH']","['CHE1048 CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 CLCCNH', 'CHE3254 CLCCNH']"
19006580,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006588,"['PHY3167 1', 'PHY3302']","['PHY3167', 'PHY3302']"
19006590,"['CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'MAT1192 8QTS']","['CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'MAT1192 QTS']"
